dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,hum,windspeed,casual,registered,cnt,datetime,lag_1_casual,lag_2_casual,lag_1_registered,lag_2_registered,hour_sin,hour_cos,lag_week_casual,lag_24_casual,lag_week_registered,lag_24_registered,casual_pred_lightgbm,registered_pred_lightgbm,total_pred_lightgbm,casual_pred_xgb,registered_pred_xgb,total_pred_xgb,casual_pred_lightgbm_2,registered_pred_lightgbm_2,total_pred_lightgbm_2,casual_pred_xgb_2,registered_pred_xgb_2,total_pred_xgb_2
2011-01-08,1,0,1,7,0,6,0,2,0.16,0.74,0.1045,1,8,9,2011-01-08 07:00:00,0.0,0.0,2.0,5.0,-0.4999999999999998,-0.8660254037844388,3.0,8.0,13.0,76.0,,,,,,,,,,,,
2011-01-08,1,0,1,8,0,6,0,3,0.16,0.93,0.1045,0,15,15,2011-01-08 08:00:00,1.0,0.0,8.0,2.0,-0.8660254037844384,-0.5000000000000004,8.0,20.0,32.0,190.0,,,,,,,,,,,,
2011-01-08,1,0,1,9,0,6,0,3,0.16,0.93,0.1045,0,20,20,2011-01-08 09:00:00,0.0,1.0,15.0,8.0,-1.0,-1.8369701987210297e-16,5.0,9.0,27.0,125.0,,,,,,,,,,,,
2011-01-08,1,0,1,10,0,6,0,2,0.18,0.8,0.1642,5,56,61,2011-01-08 10:00:00,0.0,0.0,20.0,15.0,-0.8660254037844386,0.5,3.0,16.0,10.0,47.0,,,,,,,,,,,,
2011-01-08,1,0,1,11,0,6,0,2,0.2,0.69,0.3881,2,60,62,2011-01-08 11:00:00,5.0,0.0,56.0,20.0,-0.5000000000000004,0.8660254037844384,0.0,19.0,1.0,48.0,,,,,,,,,,,,
2011-01-08,1,0,1,12,0,6,0,2,0.2,0.59,0.3582,8,90,98,2011-01-08 12:00:00,2.0,5.0,60.0,56.0,-2.4492935982947064e-16,1.0,0.0,9.0,1.0,50.0,,,,,,,,,,,,
2011-01-08,1,0,1,13,0,6,0,1,0.2,0.44,0.3284,7,95,102,2011-01-08 13:00:00,8.0,2.0,90.0,60.0,0.5,0.8660254037844386,2.0,9.0,0.0,64.0,,,,,,,,,,,,
2011-01-08,1,0,1,14,0,6,0,1,0.2,0.32,0.4925,12,83,95,2011-01-08 14:00:00,7.0,8.0,95.0,90.0,0.8660254037844384,0.5000000000000006,1.0,7.0,2.0,43.0,,,,,,,,,,,,
2011-01-08,1,0,1,15,0,6,0,1,0.2,0.32,0.4478,5,69,74,2011-01-08 15:00:00,12.0,7.0,83.0,95.0,1.0,1.1943401194869635e-15,1.0,9.0,7.0,63.0,,,,,,,,,,,,
2011-01-08,1,0,1,16,0,6,0,1,0.18,0.29,0.4478,8,68,76,2011-01-08 16:00:00,5.0,12.0,69.0,83.0,0.8660254037844392,-0.49999999999999917,8.0,5.0,6.0,82.0,,,,,,,,,,,,
2011-01-08,1,0,1,17,0,6,0,1,0.16,0.37,0.5522,5,64,69,2011-01-08 17:00:00,8.0,5.0,68.0,69.0,0.4999999999999998,-0.8660254037844388,12.0,9.0,24.0,178.0,,,,,,,,,,,,
2011-01-08,1,0,1,18,0,6,0,1,0.14,0.39,0.2985,3,52,55,2011-01-08 18:00:00,5.0,8.0,64.0,68.0,3.6739403974420594e-16,-1.0,26.0,7.0,30.0,116.0,,,,,,,,,,,,
2011-01-08,1,0,1,19,0,6,0,1,0.14,0.36,0.2537,4,26,30,2011-01-08 19:00:00,3.0,5.0,52.0,64.0,-0.49999999999999917,-0.8660254037844392,29.0,3.0,55.0,92.0,,,,,,,,,,,,
2011-01-08,1,0,1,20,0,6,0,1,0.12,0.36,0.2537,0,28,28,2011-01-08 20:00:00,4.0,3.0,26.0,52.0,-0.8660254037844387,-0.49999999999999983,47.0,1.0,47.0,50.0,,,,,,,,,,,,
2011-01-08,1,0,1,21,0,6,0,1,0.12,0.39,0.3582,2,35,37,2011-01-08 21:00:00,0.0,4.0,28.0,26.0,-1.0,-4.286263797015736e-16,35.0,0.0,71.0,39.0,,,,,,,,,,,,
2011-01-08,1,0,1,22,0,6,0,1,0.12,0.36,0.3881,1,33,34,2011-01-08 22:00:00,2.0,0.0,35.0,28.0,-0.8660254037844392,0.4999999999999991,40.0,2.0,70.0,34.0,,,,,,,,,,,,
2011-01-08,1,0,1,23,0,6,0,1,0.1,0.39,0.4478,0,22,22,2011-01-08 23:00:00,1.0,2.0,33.0,35.0,-0.5000000000000014,0.8660254037844378,41.0,1.0,52.0,14.0,,,,,,,,,,,,
2011-01-09,1,0,1,0,0,0,0,1,0.1,0.42,0.3881,1,24,25,2011-01-09 00:00:00,0.0,1.0,22.0,33.0,0.0,1.0,15.0,1.0,52.0,24.0,,,,,,,,,,,,
